tarih,icerik,orijinal_url
2025-08-04,"[Tarih: 2025-08-04] Yeilay Ekrandan Uzak Beceri Gelitirme Kampnda bugn uygulamal Yangn Sndrme Eitimi gerekletirildi! AFAD uzmanlar eliinde genlerimiz, yangn annda nasl mdahale edileceini pratikte deneyimleyerek rendi. Bilinli nesiller, gvenli yarnlar iin eitimlerle gleniyoruz!",https://www.instagram.com/p/DM8GzgJNoBL/
2025-08-04,"[Tarih: 2025-08-04] Yeilay Ekrandan Uzak Beceri Gelitirme Kamp kapsamnda, AFAD i birliiyle Afet Farkndalk Eitimi gerekletirildi! Genlerimiz, olas afetlere kar nasl hazrlkl olunmas gerektiini rendi; doru bilgi ve reflekslerle kendilerini ve evrelerini koruma konusunda bilin kazand. Afetlere kar gl bireyler, salkl bir toplum iin bir adm daha attk!",https://www.instagram.com/p/DM7vGd1NtsM/
2025-08-04,"[Tarih: 2025-08-04] Yeilay Ekrandan Uzak Beceri Gelitirme Kamp, pekyolunda tm enerjisiyle devam ediyor! Genlerimiz ekranlardan uzaklaarak el becerilerini gelitiriyor, doayla i ie keyifli ve retici vakit geiriyor. Yeil bir gelecek iin bamllklardan uzak, becerilerle dolu bir yaam birlikte ina ediyoruz",https://www.instagram.com/p/DM7cjO9t31b/
2025-08-02,"[Tarih: 2025-08-02] Kamera Arkasndan Hayata! Genlik ve Spor Bakanl ile ANKADER i birliinde, pekyolu Uluslararas ocuk ve Genlik almalar Merkezi ev sahipliinde gerekleen Kamera Arkasndan Hayata ksa film projesi; depremden etkilenen 11 ilden 50 gencin katlmyla Elazda hayat buldu. Eitim kamp srecinde genler, yaama tutunma hikyelerini kendi gzlerinden ksa filmlerle anlatt. Kamp sonunda dzenlenen Ksa Film Yarmas dl Treni ile retimler dllendirildi. Trende, projeye katklarndan dolay pekyolu Tantm Medya Koordinatrlne plaket takdim edildi.",https://www.instagram.com/p/DM3I3mmNvye/
2025-07-31,[Tarih: 2025-07-31] pek yolu Uluslararas ocuk ve Genlik almalar Merkezi Tantm ve Medya Koordinatrlmz tarafndan hazrlanan Aknc HA filmi yerel ve ulusal basnda byk ilgi grd. her zaman ve her alanda devletimize hizmet etmeye devam edeceiz. Gelitirdiimiz yerli ve milli teknolojilerin yannda medya alannda da milletimize hizmet etmekten gurur duyuyoruz,https://www.instagram.com/p/DMyI3CEtZxW/
2025-07-29,"[Tarih: 2025-07-29] Doayla Uyum inde! Yeilay Genlik ve Gnlllk Kampnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde bugn Doada Yaam konusu ilendi. Genlerimiz; doada hayatta kalma becerileri, doal kaynaklarn doru kullanm ve evreyle dost yaam zerine hem teorik hem uygulamal bilgiler edindi. Doaya sayg duymann ve onunla uyum iinde yaamann nemini bir kez daha fark ettiler.",https://www.instagram.com/p/DMsh6GDthEm/
2025-07-29,"[Tarih: 2025-07-29] Yeilay Genlik ve Gnlllk Kamp'nda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde halk oyunlar ve sokak oyunlar istasyonlaryla geleneksel kltrmz canland! Genlerimiz hem ritim duygularn halk ezgileriyle glendirdi hem de unutulmaya yz tutmu sokak oyunlaryla gemiin elencesini yeniden yaad. Dayanma, nee ve kltrel balarn ne kt bu istasyonlar kampn en renkli anlarna sahne oldu.",https://www.instagram.com/p/DMscU-4N-r1/
2025-07-29,"[Tarih: 2025-07-29] Farkndalkla Gleniyoruz! Yeilay Genlik ve Gnlllk Kampnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezi ev sahipliinde genlerimize Bamllk Endstrisi hakknda eitim verildi. Genlerimiz, bamllklarn sadece bireysel deil; ayn zamanda kresel bir endstrinin paras olduunu rendi. Eletirel bak as kazanarak bilinli tketim ve salkl yaam konusunda nemli bir adm attlar.",https://www.instagram.com/p/DMsJu2JNig6/
2025-07-28,"[Tarih: 2025-07-28] Elaz Milletvekilimiz Prof. Dr. Erol Kele, pekyolu Uluslararas ocuk ve Genlik almalar Merkezimizi ziyaret ederek Yeilay Gnllleri ile bir araya geldi.",https://www.instagram.com/p/DMqiQSEt64h/
2025-07-28,"[Tarih: 2025-07-28] Elaz Milletvekilimiz Prof. Dr. Erol Kele, pekyolu Uluslararas ocuk ve Genlik almalar Merkezimizi ziyaret ederek Yeilay Gnllleri ile bir araya geldi. Genlerle bir arada bulunmann nemine dikkat eken Sayn Kele, salkl yaam, bamllkla mcadele ve gnlllk almalar hakknda gnlllerle samimi bir sohbet gerekletirdi. Ziyaretlerinden dolay teekkr eder, genlerin yannda olan tm kymetli destekilere minnettarz.",https://www.instagram.com/p/DMqgAgENY0-/
